"";"tmean_15";"tmax_15";"tmin_15";"tseas_15";"pr_15";"prseas_15";"elev_15";"slope_15";"linear_infrastr_15";"forest_15";"water_15";"shrub_15";"bare_15";"for_shr_bare_15";"settle_med_15";"settle_low_15";"for_shr_grass_15";"for_shr_crop_15";"for_shr_agric_15";"mosaic_low_15";"settle_high_15";"crop_med_15";"grass_low_15";"crop_high_15";"grass_med_15";"grass_high_15";"mosaic_med_15";"ext_perm_crop_15";"crop_low_15";"int_perm_crop_15";"mosaic_high_15";"tmean_60";"tmax_60";"tmin_60";"tseas_60";"pr_60";"prseas_60";"elev_60";"slope_60";"linear_infrastr_60";"forest_60";"water_60";"shrub_60";"bare_60";"for_shr_bare_60";"settle_med_60";"settle_low_60";"for_shr_grass_60";"for_shr_crop_60";"for_shr_agric_60";"mosaic_low_60";"settle_high_60";"crop_med_60";"grass_low_60";"crop_high_60";"grass_med_60";"grass_high_60";"mosaic_med_60";"ext_perm_crop_60";"crop_low_60";"int_perm_crop_60";"mosaic_high_60"
"tmean_15";1;0,954792273403063;0,973803468242722;0,17890625820089;-0,389887295722034;0,23267981259616;-0,804654567645719;-0,441077220830275;0,0457632085067423;-0,349291858409362;0,254747975110236;-0,3112626968061;-0,315133597267944;-0,329971720592716;0,224210441975601;-0,0459381158194697;-0,31226982160563;-0,241675574232645;0,132918390853727;0,00969688724969982;0,185819146517354;-0,0611137344018681;0,021141205386338;-0,0419336281194688;-0,100235467497675;-0,031951208168612;-0,130827252077594;0,318277753722963;0,0243453271090423;0,349649501996933;-0,0328361770431504;0,942630801876107;0,896191452473009;0,920101487749274;0,20504301573263;-0,355855916510558;0,265102096367892;-0,730617383093825;-0,331724570982668;-0,158064246291133;-0,24445829282296;0,438533029119794;-0,285031992015607;-0,314297738073953;-0,273042426416127;0,23029798570191;-0,260946785580819;-0,329814332191875;-0,402428048527292;0,210616414539016;-0,105714190516404;0,221769325638417;-0,169053149565899;-0,0205740045590597;-0,16819729439078;-0,160143831035143;-0,174767657373978;-0,270560509850563;0,45888075156403;0,0626148635938188;0,412061756834412;-0,18303100109097
"tmax_15";0,954792273403063;1;0,882918218734904;-0,0476660944616518;-0,224914504025412;0,235961242442475;-0,877923313398522;-0,319663786764964;0,118444010450981;-0,213150417212418;0,291041590132821;-0,224745206676659;-0,274988961902152;-0,270180218992097;0,270941160224502;-0,0635759427279687;-0,187051932363173;-0,212982525882216;0,160981136953161;0,0289208103281295;0,222037333113352;-0,125636267909891;0,092671654633504;-0,0533932750529129;-0,0531071173504043;-0,00513362463960652;-0,0755420930141559;0,287449793027033;-0,0431862847830822;0,237150296931284;-0,0122188685160301;0,909459694971883;0,944430292774317;0,850308690465422;-0,00668918740587441;-0,172786886307256;0,267153005472005;-0,827638998475393;-0,220858150208288;-0,0675527528406875;-0,0956364491686065;0,51469360495854;-0,190835522586711;-0,242971010471279;-0,158242072661723;0,270157762351799;-0,287161601570546;-0,215144187792437;-0,376276183610878;0,260315277854124;-0,117856826262427;0,254579614630108;-0,218718815600466;0,0542119531690345;-0,144167655292414;-0,112235399525256;-0,116582539076775;-0,178489534907429;0,402288273802343;-0,0345382721696931;0,282130462797906;-0,123639863238716
"tmin_15";0,973803468242722;0,882918218734904;1;0,286736427452186;-0,459316204985547;0,274150461256474;-0,747479698966694;-0,518940006647333;-0,0260870782266552;-0,403520838754148;0,232956521412615;-0,353894746110951;-0,322675174109215;-0,35257905621164;0,154388624021931;-0,0212821101087891;-0,355681447034504;-0,270635524789384;0,167900853235707;0,026666277152798;0,133677633398314;0,0195697101499103;0,0242620283087326;-0,00471105896281604;-0,115989226414087;-0,0555422325195515;-0,143752464241071;0,296576234616449;0,0119364274686276;0,344993849474641;-0,0492656771809716;0,923441140895312;0,840419287730517;0,9451281366595;0,298223943881731;-0,436942320544563;0,311831267106119;-0,680583984310717;-0,417792073252488;-0,235174797921217;-0,295609255506471;0,413128152405543;-0,331579372677372;-0,336411215182624;-0,328775821800135;0,150151903838863;-0,232854987702375;-0,363743831471418;-0,435331827967469;0,252406761047883;-0,0793630364041696;0,162747902511731;-0,089066050717458;-0,00998419748622595;-0,105050959266819;-0,173797345503697;-0,212747599137287;-0,280672363385684;0,435217748565339;0,0363802180730418;0,403521905046058;-0,220624243713371
"tseas_15";0,17890625820089;-0,0476660944616518;0,286736427452186;1;-0,44164871952862;-0,00972605841671549;0,200869995655805;-0,447024464380164;-0,455513360977164;-0,385002206246092;0,0169779305387024;-0,305087320423237;-0,0651971000866558;-0,163405741683742;-0,132961856845183;-0,0704550940485169;-0,26891538813971;-0,247924964836794;0,106371365800797;0,125322066465654;-0,0605841385174405;0,0320515391011424;0,0230025845027286;-0,0188421947807261;-0,0641093288391819;-0,0808512270442501;-0,15086626043623;-0,0108835323986385;0,289666274605522;0,350758403065647;-0,0680089521256502;0,169085561804808;-0,0503367170332886;0,266379967755085;0,987494203005269;-0,498835527183941;-0,0113830000051033;0,246280414277608;-0,474596724693891;-0,627570191440741;-0,386420525076975;-0,150287810938333;-0,418593048674562;-0,203286417917713;-0,39370524199939;-0,179800124354647;-0,070928278363854;-0,288709575607256;-0,239516303366943;0,169567519814032;0,180593491856674;-0,080603286383514;0,00165712825529225;-0,016125541427633;-0,112310727599201;-0,155201409137166;-0,195969588246853;-0,289123361033388;0,042369225492138;0,454414475743976;0,408335999879341;-0,198343458783515
"pr_15";-0,389887295722034;-0,224914504025412;-0,459316204985547;-0,44164871952862;1;-0,11162341500434;0,0521593775228979;0,574536220129345;0,217367649959908;0,520842147775757;-0,0506260544837815;0,345052686416271;0,181568352648394;0,286731447886778;-0,0687990352970348;-0,123485872694959;0,3485393105784;0,188805354703026;0,0231090691196232;-0,0831520875102961;-0,063335660634531;-0,280792485352829;0,0650790321971796;-0,00943943152978342;0,0701837278344774;0,0928286013180069;0,199865496139606;-0,0984963743459809;-0,185762914037911;-0,171195377498002;0,0825030090302188;-0,383320950283195;-0,205833436539171;-0,457223965735392;-0,467950157847918;0,953972421425921;-0,141442400656428;0,000814734338307156;0,526924335265722;0,310368396228322;0,542509500737035;-0,0177422172676078;0,398090128629874;0,28172048250705;0,428916245867261;-0,115604457957935;-0,180562827261006;0,374690214459333;0,179798486719827;0,0255776196993167;-0,209887131226542;-0,101813085673133;-0,25561046197947;0,0999097157994238;-0,00707723687521099;0,0320857135418996;0,218572240883394;0,363760549259659;-0,189299624949543;-0,21366488661541;-0,236497112158724;0,332428440164443
"prseas_15";0,23267981259616;0,235961242442475;0,274150461256474;-0,00972605841671549;-0,11162341500434;1;-0,289789578098581;-0,199153763974508;-0,00118390652613239;-0,141439724478707;0,182408795775472;-0,0963252381224884;-0,105742132834517;-0,103302296456556;-0,00433616382295345;0,0979600994941525;-0,015895932241461;-0,182260869838477;0,110177613762262;0,136248455823209;-0,0199036378444377;0,128131951136818;0,256624623531233;0,107680132124238;0,0201851265216979;-0,0532994185522028;-0,0256248005783151;0,0834972795859555;-0,116264271093679;-0,159455161928386;-0,0521554866655482;0,231450920748167;0,229480409535035;0,281064044532135;-0,0160257765160544;-0,131873968059378;0,935491903347296;-0,3030866763509;-0,223904024892923;-0,0825254822261308;-0,108427490393432;0,251739073680466;-0,0537273040188756;-0,103140894452082;-0,119867472719715;-0,0932248150578587;0,0233868065538624;0,00299292323509456;-0,188634549198549;0,289981580055296;0,040070294181183;-0,0995270589172138;0,132564436925067;0,255299424079463;0,289346372373984;0,00970762689550089;-0,109150134172308;-0,0569031855413557;0,0875782011303275;-0,195579764379507;-0,172522003333998;-0,13566799079123
"elev_15";-0,804654567645719;-0,877923313398522;-0,747479698966694;0,200869995655805;0,0521593775228979;-0,289789578098581;1;0,301068580481353;-0,236232741530617;0,166707994257582;-0,282020233603779;0,214805123949858;0,277978933343934;0,280133939658533;-0,245725986454427;-0,0468295322147867;0,223748641971429;0,0299596658782446;-0,141814633360818;0,0651600129188659;-0,191701770460194;-0,0566073812910844;-0,0641353118523321;-0,0265340775381069;0,0884046996255734;-0,0196642409832692;0,0151483201816111;-0,239069111592982;0,198052719723805;-0,0436174007315437;-0,0106311376461511;-0,712756387222808;-0,787197934198628;-0,664650067058795;0,184160986449264;-0,0211616103442106;-0,312231987036251;0,927848395220223;0,205519043950499;-0,0893913640726848;0,061822961224351;-0,509712743956834;0,174245918536527;0,214075814576268;0,144151087884758;-0,248280970929679;0,150023086515505;0,258052689752982;0,121466392781143;-0,246213264761708;0,296432109181183;-0,204237579569295;0,0143452573659743;0,00394431800766185;-0,0519262819664773;0,167448547910574;0,0452383652341825;0,061340658881064;-0,358430317297246;0,226250750803411;-0,0321025385638314;0,0371432480309729
"slope_15";-0,441077220830275;-0,319663786764964;-0,518940006647333;-0,447024464380164;0,574536220129345;-0,199153763974508;0,301068580481353;1;0,116816868053577;0,710439250021043;-0,166997671504877;0,594087627600007;0,387718551333778;0,519783142060979;-0,0667497857069031;-0,228839729074412;0,532369917053316;0,121691025440936;-0,0593584549654684;-0,129567539141209;-0,076555236759277;-0,466367216067374;0,0497666428352749;-0,117776248236095;0,101933346631424;0,0629429160471336;0,0240536557823615;0,0890609316340109;-0,22188968810191;-0,173229267489389;0,0468117505675603;-0,350550423494017;-0,234256553955924;-0,430079199981651;-0,448160005766641;0,499016472422369;-0,213104818387206;0,190498557605056;0,880410686479467;0,276359867669662;0,639388602506919;-0,18988581120059;0,564874258294249;0,506138384493744;0,615657828774921;-0,0232347512533666;-0,243799691078811;0,501350396157988;0,0807101605071284;-0,113649644141095;-0,203429735609629;-0,0396433119744433;-0,405156071631165;0,104812621101914;-0,174156401505426;0,189815268260919;0,199286187720875;0,146344661866963;0,0865279613356218;-0,289347490287271;-0,186788709651269;0,204288936998777
"linear_infrastr_15";0,0457632085067423;0,118444010450981;-0,0260870782266552;-0,455513360977164;0,217367649959908;-0,00118390652613239;-0,236232741530617;0,116816868053577;1;-0,000249381510116825;-0,120457259121085;0,0164632561608656;-0,0524066979130331;0,000435604529294046;0,576901988722374;0,363088752270086;-0,0164871554015608;0,105762100634774;-0,199215602819975;-0,195262680882887;0,418091115779845;-0,0660440081250484;-0,199137143462337;0,0820403092022082;0,0665803974575414;0,0554066803068154;0,119945517530759;0,256114572898325;-0,154087945028653;0,0306801116786545;0,0472592608344457;-0,0757064183975806;0,00112255911946271;-0,137037774140505;-0,452530147141267;0,253646132503024;-0,0514035946912669;-0,110834266652067;0,23655709579253;0,76466261928022;0,0851959599292172;-0,00463440467424625;0,190685144498916;0,00465406490863273;0,175457480312893;0,449501615487464;0,275182534024206;0,0840787916950008;0,0995779099345306;-0,266092257360917;-0,182065732873484;0,320820904137685;-0,0672933358677414;-0,12863073456017;-0,0464866961652504;0,152928596682686;0,0798851427304693;0,232720807448372;0,166213407224085;-0,189588668530143;-0,0377026935498322;0,186074220464642
"forest_15";-0,349291858409362;-0,213150417212418;-0,403520838754148;-0,385002206246092;0,520842147775757;-0,141439724478707;0,166707994257582;0,710439250021043;-0,000249381510116825;1;-0,138364050121802;0,401143963202685;0,110463752716381;0,22202660663888;-0,103287762665692;-0,215314889094136;0,514037373055787;0,194639857503181;0,181590095629821;-0,117324769055918;-0,0958449871572753;-0,46674408748676;0,0424625167550731;-0,0978278934437599;0,152341386107349;0,0286209855592639;0,135473119723984;-0,116382021942553;-0,240529357346955;-0,333148744083982;0,0414396188825838;-0,281952930728769;-0,148035637751563;-0,334349459331847;-0,381779045661105;0,474925500977122;-0,161866798077775;0,0675562771139949;0,590182482049906;0,132060641799723;0,768622767565116;-0,129174003149727;0,441469700407369;0,264654917503275;0,376446957318172;-0,0880179490875633;-0,246030860050765;0,484130681301728;0,113975837482322;0,0656726261015213;-0,0971576638788116;-0,086174844180028;-0,361744418953839;0,186080589892727;-0,146158961283651;0,257913408045232;0,138198444017313;0,268123234769424;-0,148867733391391;-0,277147005001614;-0,33034532525861;0,200216771017529
"water_15";0,254747975110236;0,291041590132821;0,232956521412615;0,0169779305387024;-0,0506260544837815;0,182408795775472;-0,282020233603779;-0,166997671504877;-0,120457259121085;-0,138364050121802;1;-0,0844174117931611;-0,0278935707907647;-0,0358123131281365;0,0166756244006065;-0,17263941286054;-0,0831421068611324;-0,131844172198826;0,00380323293764245;0,0910212324038463;0,0447890224918286;-0,0595708310240991;0,126311458357486;0,1664318755981;0,0301616176754982;-0,00961286219810861;0,0331008879823877;-0,0192760400677702;-0,0991675477323403;0,00122222076784082;-0,018903710250921;0,240860843165917;0,270137280195589;0,224728441095684;0,0265050693107324;-0,0148046244583543;0,150239616224952;-0,267545751169671;-0,155239932987186;-0,089124368170747;-0,106626036245327;0,487019832366645;-0,0983616169570932;0,0577349025240331;0,027436859236392;0,0908734868790645;-0,200047738463782;-0,105717426615711;-0,100424565735182;0,142801340660432;0,00172175252791695;0,109644026626485;-0,0335190622878436;0,0243819383582871;0,0988547205835078;-0,0295308394736211;-0,0255869727897894;-0,0240487185306181;0,0021540687814835;0,0362045994063089;0,0461127911218672;-0,0624828601749641
"shrub_15";-0,3112626968061;-0,224745206676659;-0,353894746110951;-0,305087320423237;0,345052686416271;-0,0963252381224884;0,214805123949858;0,594087627600007;0,0164632561608656;0,401143963202685;-0,0844174117931611;1;0,15751727249864;0,387155815604093;-0,0828643686335039;-0,116062259063434;0,485804712547101;0,128238934242368;-0,0171988750826155;-0,0523343366855433;-0,0788119619116028;-0,329844437427766;0,0976244766595088;-0,116362368330512;0,0728999086930138;0,0320964595237009;0,0135884686576573;-0,00518361707876975;-0,165824764881036;-0,248031075191556;0,010527441441761;-0,229098467878238;-0,149683178765294;-0,270928224967438;-0,311009678453108;0,297931073538308;-0,0926550111750205;0,109854960177402;0,469366103347414;0,186418767364377;0,362504948204438;-0,105474938220044;0,719438314240322;0,20976384138482;0,350142586286817;-0,0376013569685716;-0,0545862254712238;0,443910177390239;0,108269314446604;-0,0392242264779608;-0,0804990751320203;-0,0310313896062919;-0,272740527550912;0,197409834760157;-0,140863353028399;0,15095881895631;0,127641688278916;0,142607757907623;0,0140974477946137;-0,202520459589145;-0,248184039628833;0,116265699947705
"bare_15";-0,315133597267944;-0,274988961902152;-0,322675174109215;-0,0651971000866558;0,181568352648394;-0,105742132834517;0,277978933343934;0,387718551333778;-0,0524066979130331;0,110463752716381;-0,0278935707907647;0,15751727249864;1;0,67121699528839;-0,00126637107758336;-0,0875409513908879;0,227485790543375;-0,0580671672557619;-0,0321713198458253;-0,0633134143926941;0,0140260949351268;-0,106134601045953;0,105157081612246;-0,0303646638385482;0,0644041976103634;0,0210605805672151;-0,0117502167539169;-0,00857882083192418;-0,0757596778559053;-0,0566815181670873;0,00523679492626435;-0,213352216312274;-0,185493503309565;-0,221198819920478;-0,0577593309751081;0,127904551658107;-0,0964313620783509;0,181405580972002;0,326338196165004;-0,0300816808691527;0,191050438261116;-0,0268215320930429;0,139124505066189;0,707239973298489;0,447625946660496;-0,0370493532404814;-0,104472973996807;0,15801673701311;-0,0357323744964259;-0,0414242101983892;-0,0981804944071156;-0,0236650987279429;-0,0977609836956353;0,0810184538785114;-0,048832227765352;0,0585913432030382;0,0170596561416358;0,00232941433955963;-0,0219623544022351;-0,0853237055850575;-0,0680244959505866;-0,0122152232979001
"for_shr_bare_15";-0,329971720592716;-0,270180218992097;-0,35257905621164;-0,163405741683742;0,286731447886778;-0,103302296456556;0,280133939658533;0,519783142060979;0,000435604529294046;0,22202660663888;-0,0358123131281365;0,387155815604093;0,67121699528839;1;-0,0435338816015406;-0,117030296976569;0,295150737757512;-0,0297613971061961;-0,0498595548817767;-0,113917305891033;-0,037818170977415;-0,17073095389134;0,0236510045149298;-0,0488832524005979;0,0763788811218775;0,0372119346001865;-0,021756980972639;0,0379726042023507;-0,112776736138282;-0,0893890130124303;0,0144768480585625;-0,224098832930758;-0,168581395520947;-0,251048237394245;-0,16448530439656;0,228668971218439;-0,105833486903193;0,167305138017831;0,417162948185652;0,0911018154213545;0,244031215971573;-0,0576309470517891;0,314196697904039;0,534398416512391;0,586827595830042;-0,0343544151814946;-0,0904391733573678;0,25989402537281;-0,0169599975563806;-0,0703517423408744;-0,130949475507839;-0,030931923626691;-0,160557921427573;0,0428977821632097;-0,103089625442162;0,127548646784513;0,0673201181246327;0,0568462007542834;0,0448792048169653;-0,13342215687672;-0,0880537260603754;0,0211659481975958
"settle_med_15";0,224210441975601;0,270941160224502;0,154388624021931;-0,132961856845183;-0,0687990352970348;-0,00433616382295345;-0,245725986454427;-0,0667497857069031;0,576901988722374;-0,103287762665692;0,0166756244006065;-0,0828643686335039;-0,00126637107758336;-0,0435338816015406;1;0,127029511217237;-0,0808895907517932;-0,115522442885467;-0,133214280269086;-0,0956574139418465;0,835984213782448;-0,117035953895447;-0,0795691402371074;-0,000504516325415925;-0,0129407567468552;0,00515938635700122;-0,0738136800452806;0,125696401580853;-0,0395173282469271;0,0762789595796417;-0,0121613637909322;0,153667886601461;0,187643828188204;0,101047875299071;-0,100713628366544;-0,0247616418033755;-0,039795705250261;-0,156602646733614;0,0153691484034635;0,321023055802481;-0,0233021141821654;0,151651202793852;-0,0141994203039225;0,00409774992271465;0,020833960708193;0,644318114734535;0,157483599914038;-0,0232687568668816;-0,0728775834878375;-0,126803938175101;-0,0542156857361948;0,617820080659422;-0,137402182476401;-0,0650365421937054;-0,107823132513517;0,0223394563676319;-0,00613627871167699;-0,0460859015018797;0,0876948316014509;0,0431245480729691;0,0859966006953539;-0,0174545053110819
"settle_low_15";-0,0459381158194697;-0,0635759427279687;-0,0212821101087891;-0,0704550940485169;-0,123485872694959;0,0979600994941525;-0,0468295322147867;-0,228839729074412;0,363088752270086;-0,215314889094136;-0,17263941286054;-0,116062259063434;-0,0875409513908879;-0,117030296976569;0,127029511217237;1;-0,118570900229141;0,109665520528849;-0,156905067973993;-0,0940344813592522;-0,0377073192545022;0,286448829580426;-0,141776257305889;0,148423006972506;0,0174451953085492;0,0300670532054745;0,057351525685879;0,042859898038183;-0,0137959984700795;-0,129057523265154;0,0213140131550492;-0,134053690322632;-0,150318272703315;-0,10252074731555;-0,0806401870540141;-0,116339852903392;0,0698359010833124;0,0470528469436071;-0,174317394310415;0,270780725799572;-0,19226332779779;-0,132464498543837;0,0140952527224717;-0,116899505609922;-0,0970480416479182;0,183567651912985;0,567801690947063;-0,0460090303853921;0,165244210634019;-0,195485058190778;-0,000733629743031921;0,123234899502854;0,293232995100936;-0,0710396348421118;0,104510687752337;0,0441076494042067;-0,0257166607100865;0,0731846732038529;0,00814962336822493;-0,0938009444229627;-0,192812809392765;-0,0418056187683634
"for_shr_grass_15";-0,31226982160563;-0,187051932363173;-0,355681447034504;-0,26891538813971;0,3485393105784;-0,015895932241461;0,223748641971429;0,532369917053316;-0,0164871554015608;0,514037373055787;-0,0831421068611324;0,485804712547101;0,227485790543375;0,295150737757512;-0,0808895907517932;-0,118570900229141;1;-0,087207143341462;0,13559960732149;0,176252019823428;-0,0738924992088976;-0,425616576661418;0,462075658502071;-0,111134777029623;0,461430789434036;0,131291027561215;0,167021209606294;-0,121149355734834;-0,229244356835929;-0,286236493816838;0,0787972327773465;-0,227077236340634;-0,114664293933485;-0,261420632962361;-0,239227109975457;0,313962047766573;-0,000547663773078349;0,125828946374668;0,44300887331962;0,0149942740551086;0,526590887102804;-0,111296014150808;0,491409829876752;0,282298137926991;0,391544821078611;-0,138650494940544;-0,145693950239957;0,803885821719845;-0,156198288324251;0,185492776801258;0,178304483557053;-0,0957250964470377;-0,353080367194684;0,568806670333497;-0,0729442124093259;0,482119039730104;0,233919656767875;0,25646443494911;-0,152559249773312;-0,289914781741174;-0,30845447381698;0,0551160858080986
"for_shr_crop_15";-0,241675574232645;-0,212982525882216;-0,270635524789384;-0,247924964836794;0,188805354703026;-0,182260869838477;0,0299596658782446;0,121691025440936;0,105762100634774;0,194639857503181;-0,131844172198826;0,128238934242368;-0,0580671672557619;-0,0297613971061961;-0,115522442885467;0,109665520528849;-0,087207143341462;1;-0,112540565802355;-0,0483608231723944;-0,112181122645983;0,0652606207161853;-0,220686054058114;0,0578600801379431;-0,0645358047101034;-0,0121007830721826;0,141416314041606;-0,130522940318863;0,0771309027712084;-0,346598678092191;0,0288479518305998;-0,282704847232103;-0,243625330097568;-0,320663848010851;-0,275356809262835;0,227792522115687;-0,213722401526247;0,0455480824710476;0,181982740085381;0,220469014820271;0,143167811529953;-0,12184582540215;0,219387100541166;-0,0207154897035075;0,0514616275114221;-0,0205345339350701;0,0909861311735502;-0,0455001527442714;0,752085292164567;-0,239697620201885;-0,0908861890632794;-0,0386637293070259;0,0968947155118133;-0,191660227376487;-0,0360454391008874;-0,0213270404023063;0,021496279969052;0,172569048870179;-0,0800373330303029;0,00213212147525593;-0,361005961345214;0,151925682649446
"for_shr_agric_15";0,132918390853727;0,160981136953161;0,167900853235707;0,106371365800797;0,0231090691196232;0,110177613762262;-0,141814633360818;-0,0593584549654684;-0,199215602819975;0,181590095629821;0,00380323293764245;-0,0171988750826155;-0,0321713198458253;-0,0498595548817767;-0,133214280269086;-0,156905067973993;0,13559960732149;-0,112540565802355;1;0,164505034453244;-0,092562582146169;-0,217155367344727;0,227691236322341;0,0296286261929022;0,112806380110316;-0,00962328594256235;0,0658927521721375;-0,0334286136106514;-0,0124858768599564;-0,158752163016557;-0,00644212461836969;0,179224731737716;0,209470815883879;0,214190716343421;0,129130411783079;0,0193025025302296;0,13489066451879;-0,196089612331378;-0,0551017345141232;-0,299220772099963;0,270723978445577;0,0223558702608255;-0,0317734144388148;-0,060747999142023;-0,0821685499954535;-0,235568043595958;-0,309210859127189;0,159004737630123;-0,227545205840438;0,683545108616289;0,233705678618899;-0,162247455862025;-0,222630516305891;0,401181591298143;0,0558253030714781;0,12648126322594;-0,0329501297859932;0,0262851201366977;-0,0403809404039326;-0,10245589104047;-0,145797697412486;-0,0462517470903429
"mosaic_low_15";0,00969688724969982;0,0289208103281295;0,026666277152798;0,125322066465654;-0,0831520875102961;0,136248455823209;0,0651600129188659;-0,129567539141209;-0,195262680882887;-0,117324769055918;0,0910212324038463;-0,0523343366855433;-0,0633134143926941;-0,113917305891033;-0,0956574139418465;-0,0940344813592522;0,176252019823428;-0,0483608231723944;0,164505034453244;1;-0,0824078446256123;-0,17533889671714;0,703932486732069;0,0188452824597859;0,142449466550001;-0,0249231913860136;0,0122215426873492;-0,131854651490701;0,140660161496203;-0,207259444947164;-0,0222754131815954;0,0497429597123375;0,0648687097106749;0,0690839512109475;0,148273455548614;-0,0559224923858322;0,190442054682642;0,025178271656116;-0,0923650311302637;-0,218087393479401;0,0757271493065656;0,00740214697650732;-0,0555805717522435;-0,122561442269223;-0,146724067603479;-0,185421925178159;-0,206783767071581;0,242677630115625;-0,11945800396463;0,563059379219869;0,656933838251261;-0,118876511274093;-0,218886695225305;0,542474148489951;0,22600797873798;0,224291832802535;-0,0249415861044231;0,00017761236631311;-0,107783773686798;0,0928539907521191;-0,179614621999016;-0,0509206637732368
